file,category,status,detail
00_environment.json,MAY_DIFFER,PASS,identical
00_selfcheck.csv,MUST_MATCH,PASS,identical
01_audit.json,MUST_MATCH,PASS,identical
01_scale_ladder.csv,MUST_MATCH,PASS,identical
01_split_structure.csv,MUST_MATCH,PASS,identical
02_spec_coverage.csv,MUST_MATCH,PASS,identical
02_spec_witness.csv,MUST_MATCH,PASS,identical
02_spec_witness.json,MUST_MATCH,PASS,identical
03_early_thresholds.json,MUST_MATCH,PASS,identical
03_oof_scores.npy,MUST_MATCH,PASS,identical
03_operating_points.csv,MUST_MATCH,PASS,identical
03_threshold_curve.csv,MUST_MATCH,PASS,identical
03_threshold_curve.json,MUST_MATCH,PASS,identical
04_nested_per_lot.csv,MUST_MATCH,PASS,identical
04_nested_validation.csv,MUST_MATCH,PASS,identical
04_nested_validation.json,MUST_MATCH,PASS,identical
04_nested_validation_cap01.csv,MUST_MATCH,PASS,identical
04_nested_validation_cap03.csv,MUST_MATCH,PASS,identical
04_selected_weights_cap01.csv,MUST_MATCH,PASS,identical
04_selected_weights_cap03.csv,MUST_MATCH,PASS,identical
04_selected_weights_per_fold.csv,MUST_MATCH,PASS,identical
05_blindspot.csv,MUST_MATCH,PASS,identical
05_blindspot.json,MUST_MATCH,PASS,identical
05_static_composition.csv,MUST_MATCH,PASS,identical
06_dryrun.json,MUST_MATCH,PASS,identical
09_holdout_by_behaviour.csv,MUST_MATCH,PASS,identical
09_holdout_diagnostic.json,MUST_MATCH,PASS,identical
09_holdout_metrics.csv,MUST_MATCH,PASS,identical
09_holdout_tiers.csv,MUST_MATCH,PASS,identical
09_ranking_comparison.json,MUST_MATCH,PASS,identical
10_verify_claims.csv,MUST_MATCH,PASS,identical
12_robustness.csv,MUST_MATCH,PASS,identical
12_robustness.json,MUST_MATCH,PASS,identical
13_score_bands.csv,MUST_MATCH,PASS,identical
13_score_semantics.json,MUST_MATCH,PASS,identical
14_per_lot.csv,MUST_MATCH,PASS,identical
14_per_severity.csv,MUST_MATCH,PASS,identical
14_per_variant.csv,MUST_MATCH,PASS,identical
14_sensitivity.json,MUST_MATCH,PASS,identical
15_fusion_dryrun.csv,MUST_MATCH,PASS,identical
15_fusion_dryrun.json,MUST_MATCH,PASS,identical
15_fusion_joined_example_60_rows.csv,MUST_MATCH,PASS,identical
15_fusion_joined_holdout.csv,MUST_MATCH,PASS,identical
17_source_changes.csv,MUST_MATCH,PASS,identical
20_confusion_matrices.csv,MUST_MATCH,PASS,identical
20_confusion_matrices.json,MUST_MATCH,PASS,identical
20_reconciliation.csv,MUST_MATCH,PASS,identical
