component_id,module_a_score,module_a_disposition,module_a_primary_parameter,module_a_reason_codes,module_a_evidence_tier,predicted_IDDQ_168h,predicted_Input_Leakage_Current_168h,predicted_Active_Supply_Current_168h,predicted_Propagation_Delay_168h,predicted_Output_Rise_Time_168h,predicted_Output_Fall_Time_168h,module_b_p95_IDDQ_168h,module_b_p95_Input_Leakage_Current_168h,module_b_p95_Active_Supply_Current_168h,module_b_p95_Propagation_Delay_168h,module_b_p95_Output_Rise_Time_168h,module_b_p95_Output_Fall_Time_168h,module_b_primary_parameter,module_b_reason_codes,evidence_IDDQ_limit,evidence_IDDQ_pred_frac_of_limit,evidence_IDDQ_pred_rel_delta_from_24h,evidence_IDDQ_lot_rel_dev_24h,evidence_Input_Leakage_Current_limit,evidence_Input_Leakage_Current_pred_frac_of_limit,evidence_Input_Leakage_Current_pred_rel_delta_from_24h,evidence_Input_Leakage_Current_lot_rel_dev_24h,evidence_Active_Supply_Current_limit,evidence_Active_Supply_Current_pred_frac_of_limit,evidence_Active_Supply_Current_pred_rel_delta_from_24h,evidence_Active_Supply_Current_lot_rel_dev_24h,evidence_Propagation_Delay_limit,evidence_Propagation_Delay_pred_frac_of_limit,evidence_Propagation_Delay_pred_rel_delta_from_24h,evidence_Propagation_Delay_lot_rel_dev_24h,evidence_Output_Rise_Time_limit,evidence_Output_Rise_Time_pred_frac_of_limit,evidence_Output_Rise_Time_pred_rel_delta_from_24h,evidence_Output_Rise_Time_lot_rel_dev_24h,evidence_Output_Fall_Time_limit,evidence_Output_Fall_Time_pred_frac_of_limit,evidence_Output_Fall_Time_pred_rel_delta_from_24h,evidence_Output_Fall_Time_lot_rel_dev_24h,b_evidence_status
C00158,0.6645695364238411,PASS,,A_OK,PASS,1.7537830284367524,0.0167611412770919,96.57261911184004,9.833797142657769,7.938837767649766,8.148487290159071,1.8452803281913777,0.0180650713766559,101.66872444066932,10.32251623492797,8.334144914193278,8.327640138236307,Output_Rise_Time,,40.0,0.0438445757109188,0.0229438579534697,0.0646970146264518,0.1,0.1676114127709196,0.0398375381284173,-0.1275000676608297,,,0.0219706958336416,0.0468143583103717,18.0,0.5463220634809871,0.0296190836156906,0.0302369530062989,15.0,0.5292558511766511,0.0289471691320644,-0.07876011112197,15.0,0.5432324860106047,0.0286482214727285,0.017923777300755,NOT_APPLICABLE
C00159,0.2523178807947019,PASS,,A_OK,PASS,1.461337959768601,0.0185183110015123,92.61864836949404,9.193958927450405,8.412504212258902,8.171766396889334,1.5307775396687415,0.0191837066695012,97.09702717553937,9.530373466934575,8.83877792823311,8.410714568921199,Output_Rise_Time,,40.0,0.036533448994215,0.0291308072538005,-0.1181757068313184,0.1,0.1851831100151239,0.0218690542717358,-0.0190803540014615,,,0.0220332075981015,0.0038932537325866,18.0,0.5107754959694669,0.0285654655588903,-0.0358089802988341,15.0,0.5608336141505935,0.029220703500768,-0.0240542778991326,15.0,0.5447844264592889,0.0284009364214769,0.0210773104568002,NOT_APPLICABLE
C00160,0.6009933774834437,PASS,,A_OK,PASS,1.754383301117478,0.0116054540631721,100.39542132491516,9.671130597010608,8.647653816807154,7.859118086408859,1.8100720425118224,0.0120026724669431,105.12334140545433,9.947250592345494,9.08307237234728,8.069986967097506,Output_Rise_Time,,40.0,0.0438595825279369,0.0330548312834626,0.0546371953728184,0.1,0.1160545406317213,0.0377764520407881,-0.3946791523451244,,,0.0220676331257246,0.088149020095267,18.0,0.537285033167256,0.0336832977601095,0.0092115461647628,15.0,0.5765102544538102,0.0337728777498083,-0.0011919230067291,15.0,0.5239412057605907,0.0323818179536972,-0.0217753257008262,NOT_APPLICABLE
C00161,0.214569536423841,PASS,,A_OK,PASS,1.9101276982057973,0.0143243537013329,91.70685293672696,9.582930183281006,7.957059102155037,7.866218480225743,1.9987610222534111,0.015516480492688,97.07648851909424,9.948218359117496,8.39749938306792,8.08046697211521,IDDQ,,40.0,0.0477531924551449,0.0351116183271857,0.1459804038769956,0.1,0.1432435370133298,0.041316785499635,-0.2554061003004141,,,0.0093402222137703,0.0065105093568209,18.0,0.5323850101822781,0.0309980746544662,0.0026120765623043,15.0,0.5304706068103359,0.0297559472144367,-0.077370877544881,15.0,0.5244145653483829,0.0289740474766561,-0.0176489145233301,NOT_APPLICABLE
C00162,0.0278145695364238,PASS,,A_OK,PASS,1.6458840757505304,0.0201615482352731,89.53782900702983,9.149134110172922,8.855053050857032,7.9305504104423505,1.7337530922035138,0.0215606080501452,93.0019615040863,9.492685583179345,9.322585535973284,8.243144401782576,Output_Rise_Time,,40.0,0.0411471018937632,0.0277968539148831,-0.0055248584474317,0.1,0.2016154823527319,0.0215102718383337,0.0683374380903407,,,0.0137507747193346,-0.0215706657689206,18.0,0.5082852283429401,0.0234380672632388,-0.0357028382271318,15.0,0.5903368700571355,0.0230678230237326,0.0334646488412138,15.0,0.5287033606961568,0.0221982607907386,-0.0030500901752941,NOT_APPLICABLE
C00163,0.3605960264900662,PASS,,A_OK,PASS,1.8432148146880396,0.0203665844440689,94.4854237349161,9.555921697245452,8.270652215012664,8.12134800093004,1.9741172879864817,0.0234165469437921,98.85656249449728,9.954856136772696,8.708551608842239,8.340545500774512,Input_Leakage_Current,,40.0,0.0460803703672009,0.0329854478044692,0.1081121614886968,0.1,0.2036658444406894,0.050907350055157,0.0490135051016265,,,0.0186478919216695,0.0275307517371952,18.0,0.5308845387358585,0.026017057109167,0.0046399941923889,15.0,0.5513768143341776,0.025008763940961,-0.0365680068044386,15.0,0.5414232000620026,0.0227449950395075,0.0203893182593566,NOT_APPLICABLE
C00164,0.4281456953642384,PASS,,A_OK,PASS,2.331948708872345,0.0176736899113944,97.05998352306872,9.176799203883665,7.93358657708923,7.703343341225191,2.4876060568129867,0.0186558729210035,102.06614739315292,9.545464607876983,8.39156394793559,8.04204464513636,IDDQ,,40.0,0.0582987177218086,0.037005597762093,0.3964965448287318,0.1,0.1767368991139442,0.0348199491418951,-0.0755365503802538,,,0.0152052536291786,0.0591085172776801,18.0,0.5098221779935369,0.0231031266238134,-0.0324703590983684,15.0,0.5289057718059487,0.0233509508010362,-0.0743349812895252,15.0,0.5135562227483461,0.0211394604129169,-0.0306081997516083,NOT_APPLICABLE
C00165,0.2473509933774834,PASS,,A_OK,PASS,1.6215852117119984,0.0214437647967639,90.7947806145668,9.341241696818727,8.817544980093638,8.799693485957004,1.6898668864150432,0.0224625281160665,95.06278143579564,9.791322336494163,9.234072694833587,9.929081856524688,IDDQ,,40.0,0.0405396302927999,0.0315972228253771,-0.023816229291096,0.1,0.2144376479676397,0.0350806003168402,0.1213835286475952,,,0.0184775415491975,-0.0124399097778443,18.0,0.5189578720454848,0.022663065358831,-0.0147090366975964,15.0,0.5878363320062425,0.0240945221464769,0.0280554138826523,15.0,0.5866462323971336,0.023351780584457,0.1049630143156088,NOT_APPLICABLE
C00166,0.2354304635761589,PASS,,A_OK,PASS,1.5527849229339856,0.0170040537285839,87.98298755631444,9.59668440552781,8.431529098153392,8.207773052832708,1.638050352283135,0.0177100788970462,91.64523518148088,9.855481495901536,9.645827684586664,8.37623234981759,Output_Rise_Time,B_WIDE_ENVELOPE:Output_Rise_Time,40.0,0.0388196230733496,0.0227869521825237,-0.0571814931370098,0.1,0.1700405372858389,0.032990324317107,-0.1089880646296247,,,0.0189642585385006,-0.0434804345295046,18.0,0.5331491336404339,0.0356878232074236,-0.0004953836019238,15.0,0.5621019398768928,0.0359583251866313,-0.0282088444925844,15.0,0.5471848701888472,0.0376234949375529,0.0164609265021558,NOT_APPLICABLE
C00167,0.0218543046357615,PASS,,A_OK,PASS,1.83987417991728,0.0225458404419767,90.36425655912176,9.819647571479942,8.700128485074295,8.294729231631644,1.9321505687563885,0.0237216587582571,94.45700683251042,10.204733078214849,9.09776628050436,8.697778690550294,Output_Rise_Time,,40.0,0.045996854497932,0.0266352963034583,0.1129455199213795,0.1,0.2254584044197679,0.0255567886634276,0.1899645457251886,,,0.0138587896218441,-0.0126450376762023,18.0,0.5455359761933302,0.0215889223618591,0.0368410609309965,15.0,0.5800085656716196,0.0213979097428997,0.0170436333371402,15.0,0.5529819487754429,0.0206161636464272,0.0443472266037356,NOT_APPLICABLE
